task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_068,68,1705431447,2004613929,2000,1647,200,4,0.03,0.8,0.3,0.4,1443.424,508,218,0.9128440366972477,0.7930743243243243,0.8395787099654642,0.9673113714820258,0.8395787099654642
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_069,69,2041442266,365639134,2000,1642,200,4,0.03,0.8,0.3,0.4,1464.587,508,218,0.9036697247706422,0.8098723723723723,0.8152931108258451,0.9604546029231285,0.8152931108258451
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_070,70,1085747651,1221139685,2000,1629,200,4,0.03,0.8,0.3,0.4,1485.816,508,218,0.9036697247706422,0.7614489489489489,0.7726518639172615,0.965010826267442,0.7726518639172615
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_071,71,604044113,1044729937,2000,1622,200,4,0.03,0.8,0.3,0.4,1506.801,508,218,0.9220183486238532,0.8566066066066066,0.881242513015834,0.9541863780516342,0.881242513015834
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_072,72,1941229823,1234822188,2000,1605,200,4,0.03,0.8,0.3,0.4,1527.714,508,218,0.8990825688073395,0.8329579579579579,0.8410757128927573,0.9462895862946413,0.8410757128927573
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_073,73,1568485472,533123491,2000,1646,200,4,0.03,0.8,0.3,0.4,1549.067,508,218,0.8761467889908257,0.7236298798798799,0.7512254901960784,0.9447749229259191,0.7512254901960784
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_074,74,2069518132,1842258915,2000,1579,200,4,0.03,0.8,0.3,0.4,1570.209,508,218,0.8761467889908257,0.737424924924925,0.774882751433038,0.9284990969582023,0.774882751433038
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_075,75,2102743548,573143618,2000,1613,200,4,0.03,0.8,0.3,0.4,1591.336,508,218,0.8853211009174312,0.7733671171171171,0.7933793255324894,0.9481674404205023,0.7933793255324894
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_076,76,1064504929,2077000380,2000,1682,200,4,0.03,0.8,0.3,0.4,1613.074,508,218,0.9128440366972477,0.8292980480480481,0.8458766075045144,0.9563769769590172,0.8458766075045144
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_077,77,730502501,138388294,2000,1656,200,4,0.03,0.8,0.3,0.4,1634.293,508,218,0.8944954128440367,0.8239489489489489,0.8149882640246487,0.9572285302086525,0.8149882640246487
